epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,915.757,1.82265,2.1306,1.32002,0.5359,0.57247,0.59753,0.3016,1.81272,2.25517,1.48317,0.000551359,0.000551359,0.000551359
2,1881.25,1.82016,1.65537,1.30161,0.73087,0.55754,0.65784,0.31466,1.82835,1.91797,1.60407,0.000887835,0.000887835,0.000887835
3,2870.07,1.76222,1.47615,1.27415,0.74889,0.57801,0.6468,0.32152,1.81659,1.55953,1.54444,0.00100427,0.00100427,0.00100427
4,3669.65,1.68692,1.31647,1.23671,0.72991,0.62981,0.67685,0.35522,1.67217,1.39242,1.40393,0.000676802,0.000676802,0.000676802
5,4542.51,1.60606,1.18903,1.19983,0.88885,0.70642,0.78084,0.46611,1.5197,1.11228,1.31803,0.000346736,0.000346736,0.000346736
